date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:52	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jun%202024%2021:58:04%20GMT	https://ofertaml.vercel.app/robots.txt		(from )
18:53:52	11475953/11475953	---MCZ	200	added ('OK')	text/html	etag:W/%225e93b695784da27569bd1f18479011e1%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html	(from )
18:53:53	24118/24118	---M--	200	added ('OK')	image/png	etag:%22a70bead33dd06cafa97688f550756a2f%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/favicone16be16b.png?v=145227305158328575881714061211	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/favicone16be16be16b.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:53	61061/61061	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e3bf9c2c19157339034a24c3998ff100%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/cdn.jsdelivr.net/npm/jsbarcode%403.11.0/dist/JsBarcode.all.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:53	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22517b55d3688ce9ef1085a3d9632bcb97%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs%40gh-pages/qrcode.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:53	89795/89795	---MCZ	200	added ('OK')	application/javascript	etag:W/%22641dd14370106e992d352166f5a07e99%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/code.jquery.com/jquery-3.6.4.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/code.jquery.com/jquery-3.6.4.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:54	60352/60352	---MCZ	200	added ('OK')	text/css	etag:W/%2239f81f10530e10af3553e2f2bd3c3161%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:54	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%228fb8fee4fcc3cc86ff6c724154c49c42%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/code.jquery.com/jquery-3.6.0.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/code.jquery.com/jquery-3.6.0.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:54	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%22f38b2db10e01b1572732a3191d538707%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/cdn.jsdelivr.net/npm/slick-carousel%401.8.1/slick/slick.css	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:55	206640/206640	---MCZ	200	added ('OK')	text/html	etag:W/%22087bf0a35a8c62b80c69e8a8b6255704%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/POST.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/POST.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:55	115944/115944	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fc925b5a34440bf410c8cf3b04c22f69%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/s/trekkie.storefront.dd626a6a6fbdab104f8779acc4331c330134c832.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/s/trekkie.storefront.dd626a6a6fbdab104f8779acc4331c330134c832.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:55	8298/8298	---MCZ	200	added ('OK')	application/javascript	etag:W/%22125c7f6c7e3f3b32ca1a15afbbc6935e%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:55	59535/59535	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215576e32757a2679f1129d0f746e173a%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:56	224626/224626	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2024%20Jun%202024%2021:58:07%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/Meus%20Sites/mercadolivre3/connect.facebook.net/en_US/fbevents.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
